Country,Currency,Date,Change,"url1, url2, url3",
China,Chinese Yuan,9-Nov-16,-0.07%,NULL,
Europe,Euro(1),9-Nov-16,-0.14%,NULL,
Japan,Japanese Yen,9-Nov-16,-2.44%,"http://money.cnn.com/2016/11/09/investing/japan-markets-emergency-meeting/, http://www.straitstimes.com/business/economy/gold-prices-surge-mexican-peso-plunges, http://www.wsj.com/articles/trump-and-the-yen-making-things-uncomfortable-for-japan-1478688254",
United Kingdom,U.K. Pound Sterling(1),9-Nov-16,0.28%,NULL,
United States,U.S. Dollar,9-Nov-16,0.00%,"https://www.efxnews.com/story/34590/trump-wins-usd-reagan-1983-84-response-cards-deutsche-bank, http://www.businesswire.com/news/home/20161109005857/en/Global-Elastomeric-Coatings-Market-Worth-USD-11.36, https://www.dailyfx.com/forex/education/trading_tips/trend_of_the_day/2016/11/09/Trump-Presidency-Fuels-EURUSD-Gains-PRtech.html",
Algeria,Algerian Dinar,9-Nov-16,0.22%,NULL,
Australia,Australian Dollar(1),9-Nov-16,-1.35%,", http://www.smh.com.au/business/markets/australian-dollar-plunges-as-trump-takes-lead-20161109-gslcw6.html, http://www.theaustralian.com.au/business/markets/aussie-dollar-lifts-as-trump-fears-ebb/news-story/efd678763c55322a2686ed80bce96dc8",
Brazil,Brazilian Real,9-Nov-16,0.00%,NULL,
Canada,Canadian Dollar,9-Nov-16,0.53%,NULL,
Chile,Chilean Peso,9-Nov-16,-0.51%,NULL,
Colombia,Colombian Peso,9-Nov-16,-2.79%,NULL,
Denmark,Danish Krone,9-Nov-16,0.14%,NULL,
Hungary,Hungarian Forint,9-Nov-16,-0.26%,NULL,
Iceland,Icelandic Krona,9-Nov-16,-0.81%,NULL,
India,Indian Rupee,9-Nov-16,0.13%,NULL,
Indonesia,Indonesian Rupiah,9-Nov-16,-0.05%,NULL,
Iran,Iranian Rial,9-Nov-16,-0.01%,NULL,
Isreal,Israeli New Sheqel,9-Nov-16,-0.39%,NULL,
Kazakhstan,Kazakhstani Tenge,9-Nov-16,0.42%,NULL,
Korea,Korean Won,9-Nov-16,-0.36%,NULL,
Libya,Libyan Dinar(2),9-Nov-16,0.00%,NULL,
Malaysian,Malaysian Ringgit,9-Nov-16,0.33%,NULL,
Mexico,Mexican Peso,9-Nov-16,7.65%,"http://www.bloomberg.com/news/articles/2016-11-08/mexican-peso-fluctuates-before-make-or-break-presidential-ballot, http://money.cnn.com/2016/11/09/investing/mexican-peso-trump-us-election/, http://www.morningstar.com/news/market-watch/TDJNMW_2016110979/dollar-mexican-peso-drop-as-trump-secures-us-presidency.html",
Nepal,Nepalese Rupee,9-Nov-16,0.00%,NULL,
New Zealand,New Zealand Dollar(1),9-Nov-16,0.71%,NULL,
Norway,Norwegian Krone,9-Nov-16,0.63%,NULL,
Pakistan,Pakistani Rupee,9-Nov-16,0.04%,NULL,
Phillippines,Philippine Peso,9-Nov-16,0.17%,NULL,
Poland,Polish Zloty,9-Nov-16,0.35%,NULL,
Qatar,Qatar Riyal,9-Nov-16,0.00%,NULL,
Russia,Russian Ruble,9-Nov-16,0.25%,NULL,
Saudi Arabia,Saudi Arabian Riyal,9-Nov-16,0.00%,NULL,
Singapore,Singapore Dollar,9-Nov-16,-0.16%,NULL,
South Africa,South African Rand,9-Nov-16,0.64%,NULL,
Sri Lanka,Sri Lanka Rupee,9-Nov-16,0.03%,NULL,
Sweden,Swedish Krona,9-Nov-16,-0.32%,NULL,
Switzerland,Swiss Franc,9-Nov-16,-0.44%,NULL,
Thailand,Thai Baht,9-Nov-16,-0.10%,NULL,
United Arab Emirates,U.A.E. Dirham,9-Nov-16,0.00%,NULL,
v/,Bolivar Fuerte,9-Nov-16,0.00%,NULL,
,,,,,
,,,,,
,,,,,
